r,p,y
0.6,-0.7,2.3
0.0,-0.0,0.0
0.0,-0.1,0.0
0.1,-0.1,0.1
0.1,-0.1,0.1
0.1,-0.1,0.1
0.1,-0.1,0.2
0.1,-0.1,0.2
0.1,-0.1,0.2
0.1,-0.2,0.3
0.1,-0.2,0.3
0.2,-0.2,0.4
0.2,-0.2,0.4
0.2,-0.2,0.5
0.2,-0.3,0.5
0.2,-0.3,0.5
0.2,-0.3,0.6
0.2,-0.3,0.6
0.2,-0.3,0.6
0.3,-0.3,0.7
0.3,-0.3,0.7
0.3,-0.4,0.7
0.3,-0.4,0.8
0.3,-0.4,0.8
0.3,-0.4,0.8
0.4,-0.4,0.9
0.4,-0.4,0.9
0.4,-0.4,0.9
0.4,-0.4,1.0
0.4,-0.5,1.0
0.4,-0.5,1.0
0.4,-0.5,1.1
0.4,-0.5,1.1
0.5,-0.5,1.2
0.5,-0.5,1.2
0.5,-0.5,1.2
0.5,-0.5,1.3
0.5,-0.6,1.3
0.5,-0.6,1.3
0.5,-0.6,1.4
0.5,-0.6,1.4
0.6,-0.6,1.5
0.5,-0.6,1.5
0.5,-0.6,1.5
0.6,-0.6,1.5
0.5,-0.6,1.6
0.6,-0.7,1.6
0.6,-0.7,1.6
0.6,-0.7,1.7
0.6,-0.7,1.7
0.6,-0.7,1.7
0.7,-0.7,1.7
0.7,-0.8,1.8
0.7,-0.8,1.8
0.6,-0.8,1.9
0.7,-0.8,1.9
0.7,-0.8,2.0
0.7,-0.8,2.0
0.7,-0.8,2.0
0.7,-0.8,2.1
0.7,-0.8,2.1
0.7,-0.8,2.2
0.8,-0.9,2.2
0.7,-0.9,2.2
0.8,-0.9,2.3
0.8,-0.9,2.3
0.8,-0.9,2.4
0.8,-0.9,2.4
0.8,-0.9,2.4
0.8,-1.0,2.5
0.9,-1.0,2.5
0.9,-1.0,2.5
0.9,-1.0,2.6
0.9,-1.0,2.6
0.9,-1.0,2.6
0.9,-1.1,2.7
0.9,-1.0,2.7
0.9,-1.1,2.7
0.9,-1.1,2.8
0.9,-1.1,2.8
0.9,-1.1,2.8
0.9,-1.1,2.9
0.9,-1.1,2.9
1.0,-1.2,3.0
1.0,-1.2,3.0
1.0,-1.1,3.0
1.0,-1.2,3.1
1.0,-1.2,3.1
1.0,-1.2,3.1
1.0,-1.3,3.2
1.1,-1.3,3.2
1.1,-1.3,3.2
1.1,-1.3,3.3
1.1,-1.3,3.3
1.1,-1.3,3.3
1.1,-1.3,3.4
1.1,-1.3,3.4
1.1,-1.3,3.4
1.1,-1.3,3.5
1.1,-1.3,3.5
1.1,-1.3,3.5
1.2,-1.4,3.6
1.1,-1.4,3.6
1.1,-1.4,3.7
1.1,-1.4,3.7
1.2,-1.5,3.8
1.2,-1.7,4.1
16.2,-21.4,6.8
23.5,-25.3,8.7
21.1,-12.0,5.5
4.6,-1.7,3.6
0.9,0.6,3.7
1.4,-0.5,4.0
1.7,-1.1,4.2
1.7,-1.0,4.3
1.8,-1.1,4.3
1.8,-1.2,4.3
1.8,-1.0,4.3
1.9,-1.2,4.4
1.9,-1.2,4.4
1.9,-1.1,4.5
1.9,-1.1,4.4
2.0,-1.5,4.5
2.1,-1.6,4.6
2.2,-1.6,4.6
2.3,-1.9,4.7
2.2,-1.7,4.7
2.2,-1.7,4.7
2.3,-1.9,4.8
2.3,-1.8,4.8
2.3,-1.7,4.8
2.3,-1.8,4.9
2.5,-2.3,5.1
7.8,-17.6,7.9
23.0,-26.1,9.2
20.1,-16.3,7.9
19.3,-16.4,7.9
19.1,-16.3,8.0
19.0,-16.3,8.0
19.0,-16.3,8.1
18.8,-16.2,8.2
18.9,-16.2,8.3
18.7,-16.1,8.3
18.6,-16.1,8.3
18.6,-16.1,8.4
18.6,-16.2,8.4
11.9,-6.0,6.9
0.4,0.5,4.6
1.0,-0.8,5.2
0.9,-0.7,5.2
1.9,-2.7,5.7
4.2,-15.1,8.3
22.5,-26.5,10.0
23.2,-22.1,9.7
17.4,-10.5,7.2
3.2,-2.3,5.4
0.4,-0.7,5.4
0.9,-1.7,5.8
1.6,-3.0,6.3
2.7,-13.8,8.3
22.4,-26.1,10.6
22.8,-20.7,9.5
12.1,-7.5,6.8
1.2,-1.4,5.6
0.9,-1.2,5.7
1.1,-1.6,5.8
1.9,-3.2,6.6
13.4,-20.2,9.6
25.4,-26.9,10.4
21.5,-15.7,8.4
10.5,-6.1,7.1
0.7,-0.8,6.1
1.1,-1.5,6.3
1.5,-2.5,6.6
1.8,-3.1,6.9
13.8,-20.4,10.1
25.2,-27.0,10.7
21.5,-15.5,8.5
7.9,-5.0,7.3
